Gene,Locus Tag,Protein
,STM4191,putative cytoplasmic protein
,STM4192,putative cytoplasmic protein
yjbC,STM4193,putative pseudouridine synthase
yjbD,STM4194,putative cytoplasmic protein
,STM4195,putative Na+-dependent transporter
,STM4196,putative cytoplasmic protein
,STM4197,putative inner membrane protein
,STM4198,putative cytoplasmic protein
,STM4199,putative cytoplasmic protein
,STM4200,putative phage tail fiber protein H
,STM4201,putative phage tail protein
,STM4202,putative phage baseplate protein
,STM4203,putative phage baseplate protein
,STM4204,putative inner membrane protein
,STM4205,putative phage glycosyltransferase
,STM4206,putative phage glucose translocase
,STM4207,putative phage baseplate component
,STM4208,putative cytoplasmic protein
,STM4209,putative inner membrane protein
,STM4210,putative methyl-accepting chemotaxis protein
,STM4211,putative phage tail protein
,STM4212,putative phage tail core protein
,STM4213,putative phage tail sheath protein
,STM4214,putative cytoplasmic protein
,STM4215,putative cytoplasmic protein
,STM4216,putative inner membrane protein
,STM4217,putative soluble lytic murein transglycosylase
,STM4218,putative inner membrane protein
,STM4219,putative cytoplasmic protein
lysC,STM4220,lysine sensitive aspartokinase III
pgi,STM4221,glucosephosphate isomerase
yjbE,STM4222,putative outer membrane protein
yjbF,STM4223,putative outer membrane lipoprotein
yjbG,STM4224,putative periplasmic protein
yjbH,STM4225,putative outer membrane lipoprotein
yjbA,STM4226,putative inner membrane protein
malG,STM4227,maltose transport protein
malF,STM4228,maltose transport protein
malE,STM4229,maltose transport protein
malK,STM4230,maltose transport protein
lamB,STM4231,phage lambda receptor protein
malM,STM4232,periplasmic protein of mal regulon
ubiC,STM4233,chorismate pyruvate lyase
ubiA,STM4234,p-hydroxybenzoate: octaprenyltransferase
plsB,STM4235,glycerolphosphate acyltransferase activity
dgkA,STM4236,diacylglycerol kinase
lexA,STM4237,SOS response regulator
dinF,STM4238,DNA-damage-inducible protein F
,STM4239,putative cytoplasmic protein
yjbJ,STM4240,putative cytoplasmic protein
zur,STM4241,transcriptional repressor of znuABC operon
,STM4242,putative outer membrane or exported protein
yjbN,STM4243,putative TIM-barrel enzyme
yjbO,STM4244,putative inner membrane protein
qor,STM4245,NADPH dependent quinone oxidoreductase
dnaB,STM4246,putative replicative DNA helicase
alr,STM4247,biosynthetic alanine racemase 1
tyrB,STM4248,tyrosine aminotransferase
aphA,STM4249,"non-specific acid phosphatase/phosphotransferase, class B"
yjbQ,STM4250,putative cytoplasmic protein
yjbR,STM4251,putative cytoplasmic protein
,STM4252,putative inner membrane protein
,STM4253,putative outer membrane lipoprotein
uvrA,STM4254,DNA excision repair enzyme
,STM4255,putative cytoplasmic protein
ssb,STM4256,ssDNA-binding protein
,STM4257,putative inner membrane or exported
,STM4258,putative methyl-accepting chemotaxis protein
,STM4259,putative ABC exporter outer membrane component-like protein
,STM4260,membrane permease
,STM4261,putative inner membrane protein
,STM4262,putative ABC-type bacteriocin/lantibiotic exporter
yjcB,STM4263,putative inner membrane protein
yjcC,STM4264,putative diguanylate cyclase/phosphodiesterase
soxS,STM4265,transcriptional activator of superoxide response regulon
soxR,STM4266,redox-sensing transcriptional activator SoxR
,STM4267,putative glutathione S-transferase
yjcD,STM4268,putative xanthine/uracil permease family
yjcE,STM4269,putative CPA1 family Na:H transport protein
,STM4270,putative LysR family transcriptional regulator
,STM4271,putative inner membrane protein
,STM4272,putative inner membrane protein
yjcG,STM4273,putative SSS family transport protein
yjcH,STM4274,putative inner membrane protein
acs,STM4275,acetyl-CoA synthetase
,STM4276,putative cytoplasmic protein
nrfA,STM4277,nitrite reductase periplasmic cytochrome c(552)
nrfB,STM4278,formate-dependent nitrite reductase
nrfC,STM4279,putative formate-dependent nitrite reductase
nrfD,STM4280,putative formate dependent nitrate reductase
nrfE,STM4281,formate-dependent nitrite reductase
nrfG,STM4282,component of formate-dependent nitrite reductase complex
gltP,STM4283,DAACS family glutamate:aspartate symport protein
yjcO,STM4284,putative TPR repeat protein
fdhF,STM4285,formate dehydrogenase
lpxO,STM4286,putative dioxygenase for synthesis of lipid
phnO,STM4287,putative regulator in phn operon
phnB,STM4288,putative cytoplasmic protein
phnA,STM4289,putative alkylphosphonate uptake protein in phosphonate metabolism
proP,STM4290,MFS family low-affinity proline transporter
basS,STM4291,sensory kinase in two-component regulatory system with BasR
basR,STM4292,response regulator in two-component regulatory system with BasS
yjdB,STM4293,putative integral membrane protein
yjdE,STM4294,putative APC family putrescine/ornithine transport protein
adiY,STM4295,transcriptional activator of adiA
adi,STM4296,arginine decarboxylase
melR,STM4297,regulator of melibiose operon
melA,STM4298,alpha-galactosidase
melB,STM4299,GPH family melibiose permease II
fumB,STM4300,fumarase B
dcuB,STM4301,Dcu family anaerobic C4-dicarboxylate transporter
,STM4302,putative cytoplasmic protein
dcuR,STM4303,response regulator in two-component regulatory system with DcuS
dcuS,STM4304,sensory histidine kinase in two-component retgulatory system with DcuR
,STM4305,"putative anaerobic dimethyl sulfoxide reductase, subunit A"
,STM4306,"putative anaerobic dimethyl sulfoxide reductase, subunit B"
,STM4307,"putative anaerobic dimethyl sulfoxide reductase, subunit C"
,STM4308,putative component of anaerobic dehydrogenases
,STM4309,putative periplasmic or exported protein
,STM4310,putative inner membrane protein
tnpA_6,STM4311,transposase for IS200
,STM4312,putative phage protein
,STM4313,putative cytoplasmic protein
,STM4314,putative luxR family bacterial regulatory proteins
,STM4315,putative AraC-type DNA-binding domain-containing protein
,STM4316,putative cytoplasmic protein
,STM4317,putative copG family helix-turn-helix protein
,STM4318,putative acetyltransferase
phoN,STM4319,non-specific acid phosphatase
,STM4320,putative merR family bacterial regulatory protein
yjdC,STM4322,putative merR family bacterial regulatory protein
dsbD,STM4323,thiol:disulfide interchange protein
cutA,STM4324,putative periplasmic divalent cation tolerance protein
dcuA,STM4325,Dcu family anaerobic dicarboxylate transport protein
aspA,STM4326,aspartate ammonia-lyase
fxsA,STM4327,suppresses F exclusion of bacteriophage T7
yjeH,STM4328,putative transporter
mopB,STM4329,chaperone Hsp10
mopA,STM4330,chaperone Hsp60 with peptide-dependent ATPase activity
yjeI,STM4331,putative outer membrane lipoprotein
yjeJ,STM4332,putative inner membrane protein
yjeK,STM4333,putative aminomutase
efp,STM4334,elongation factor P
ecnA,STM4335,putative entericidin A precursor
ecnB,STM4336,putative entericidin B precursor
ecnR,STM4337,putative luxR family bacterial regulatory protein
sugE,STM4338,putative DMT superfamily transport protein
blc,STM4339,outer membrane lipoprotein
frdD,STM4340,fumarate reductase
frdC,STM4341,fumarate reductase
frdB,STM4342,fumarate reductase
frdA,STM4343,fumarate reductase
yjeA,STM4344,putative pyruvate oxidase
yjeM,STM4345,putative APC family amino-acid transport protein
yjeO,STM4346,putative inner membrane protein
yjeP,STM4347,putative periplasmic binding protein
psd,STM4348,phosphatidylserine decarboxylase
yjeQ,STM4349,putative GTPase
orn,STM4350,oligoribonuclease
,STM4351,putative arginine-binding periplasmic protein
yjeS,STM4355,putative Fe-S protein
yjeF,STM4356,putative sugar kinase
yjeE,STM4357,putative nucleotide-binding protein
amiB,STM4358,N-acetylmuramoyl-l-alanine amidase II
mutL,STM4359,enzyme in methyl-directed mismatch repair
miaA,STM4360,delta(2)-isopentenylpyrophosphate tRNA-adenosine transferase
hfq,STM4361,host factor I for bacteriophage Q beta replication
hflX,STM4362,putative GTP-ase
hflK,STM4363,component of modulator for protease specific for FtsH phage lambda cII repressor
hflC,STM4364,component of modulator for protease specific for FtsH phage lambda cII repressor
yjeT,STM4365,putative inner membrane protein
purA,STM4366,adenylosuccinate synthetase
yjeB,STM4367,putative negative regulator
vacB,STM4368,putative exoribonuclease
yjfH,STM4369,putative tRNA/rRNA methyltransferase
yjfI,STM4370,putative cytoplasmic protein
yjfJ,STM4371,putative phage shock protein A
,STM4372,resembles eukaryotic-type potassium channels
yjfK,STM4373,putative cytoplasmic protein
yjfL,STM4374,putative inner membrane protein
yjfM,STM4375,putative inner membrane protein
yjfC,STM4376,putative glutathionylspermidine synthase
aidB,STM4377,putative acyl-CoA dehydrogenase
yjfN,STM4378,putative inner membrane protein
yjfO,STM4379,putative lipoprotein
yjfP,STM4380,putative hydrolase of the alpha/beta superfamily
yjfQ,STM4381,putative transcriptional repressor
yjfR,STM4382,putative Zn-dependent hydrolases of the beta-lactamase fold
sgaT,STM4383,putative PTS enzyme IIsga subunit
sgaB,STM4384,putative PTS enzyme IIsga subunit
ptxA,STM4385,putative PTS enzyme IIsga subunit
sgaH,STM4386,putative hexulose phosphate synthase
sgaU,STM4387,putative hexulose-6-phosphate isomerase
sgaE,STM4388,putative L-ribulose 5-phosphate 4-epimerase
yjfY,STM4389,putative outer membrane protein
,STM4390,putative cytoplasmic protein
rpsF,STM4391,30S ribosomal subunit protein S6
priB,STM4392,primosomal replication protein N
rpsR,STM4393,30S ribosomal subunit protein S18
rplI,STM4394,50S ribosomal subunit protein L9
yifZ,STM4395,putative permease
ytfB,STM4396,putative cell envelope opacity-associated protein A
fklB,STM4397,FKBP-type 22KD peptidyl-prolyl cis-trans isomerase
cycA,STM4398,APC family D-alanine/D-serine/glycine transport protein
ytfE,STM4399,putative cell morphogenesis
ytfF,STM4400,putative cationic amino acid transporter
ytfG,STM4401,putative reductase
ytfH,STM4402,putative transcriptional regulator
cpdB,STM4403,"2',3'-cyclic-nucleotide 2'-phosphodiesterase"
cysQ,STM4404,CysQ protein
ytfJ,STM4405,putative transcriptional regulator
ytfK,STM4406,putative cytoplasmic protein
ytfL,STM4407,putative hemolysin-related protein
msrA,STM4408,peptide methionine sulfoxide reductase
ytfM,STM4409,putative outer membrane protein
ytfN,STM4410,putative periplasmic protein
ytfP,STM4411,putative cytoplasmic protein
,STM4412,putative pemease
,STM4413,putative imidazolonepropionase and related amidohydrolases
ppa,STM4414,inorganic pyrophosphatase
fbp,STM4415,fructose-bisphosphatase
mpl,STM4416,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
,STM4417,putative transcriptional regulator
,STM4418,sugar (and other) transporter
,STM4419,sugar (and other) transporter
,STM4420,putative inner membrane protein
,STM4421,putative NAD-dependent aldehyde dehydrogenase
,STM4422,putative cytoplasmic protein
,STM4423,putative AraC-type DNA-binding domain-containing protein
,STM4424,putative endonuclease
,STM4425,putative dehydrogenase
srfJ,STM4426,activated by transcription factor SsrB
,STM4427,putative endonuclease
,STM4428,putative permease
,STM4430,putative sugar kinase
,STM4429,putative cytoplasmic protein
,STM4431,putative thiamine pyrophosphate-requiring enzyme
,STM4432,putative thiamine pyrophosphate-requiring enzyme
,STM4433,putative thiamine pyrophosphate-requiring enzyme
,STM4434,putative permease
,STM4435,putative cytoplasmic protein
,STM4436,putative endonuclease
yjgA,STM4437,putative cytoplasmic protein
pmbA,STM4438,putative peptide maturation protein
cybC,STM4439,cytochrome b(562)
,STM4440,putative cytoplasmic protein
,STM4441,putative cytoplasmic protein
,STM4442,putative cytoplasmic protein
,STM4443,putative inner membrane protein
,STM4444,putative inner membrane protein
,STM4445,putative dihydroorotase
,STM4446,putative selenocysteine synthase
,STM4447,putative periplasmic protein
,STM4448,putative phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)
,STM4449,putative copG family helix-turn-helix protein
,STM4450,putative inner membrane protein
nrdG,STM4451,anaerobic ribonucleotide reductase activating protein
nrdD,STM4452,anaerobic ribonucleoside-triphosphate reductase
treC,STM4453,trehalose- 6-P hydrolase
treR,STM4455,transcriptional repressor of treABC
mgtA,STM4456,P-type ATPase
,STM4457,putative transposase
yjgF,STM4458,putative translation initiation inhibitor
pyrI,STM4459,"aspartate carbamoyltransferase, regulatory subunit"
pyrB,STM4460,"aspartate carbamoyltransferase, catalytic subunit"
pyrL,STM4461,pyrBI operon leader peptide
yjgG,STM4462,putative cytoplasmic protein
,STM4463,putative arginine repressor
,STM4464,putative arginine repressor
,STM4465,putative ornithine carbamoyltransferase
,STM4466,putative carbamate kinase
,STM4467,putative arginine deiminase
yjgK,STM4468,putative cytoplasmic protein
argI,STM4469,ornithine carbamoyltransferase 1
yjgD,STM4470,putative cytoplasmic protein
miaE,STM4471,hydroxylase for synthesis of 2-methylthio-cis-ribozeatin in tRNA
ytgA,STM4472,putative inner membrane protein
yjgM,STM4473,putative acetyltransferase
yjgN,STM4474,putative inner membrane protein
valS,STM4475,valine tRNA synthetase
holC,STM4476,"DNA polymerase III, chi subunit"
pepA,STM4477,aminopeptidase A
,STM4478,putative cytoplasmic protein
yjgP,STM4479,putative permease
yjgQ,STM4480,putative permease
idnR,STM4481,L-idonate regulator
idnT,STM4482,GntP family L-idonate transport protein
idnO,STM4483,5-keto-D-gluconate-5-reductase
idnD,STM4484,L-idonate 5-dehydrogenase
idnK,STM4485,thermosensitive D-gluconate kinase
yjgB,STM4486,putative alcohol dehydrogenase
,STM4488,putative integrase
,STM4489,putative superfamily I DNA helicases
,STM4490,putative Mrr restriction endonuclease
,STM4491,putative ATP-dependent Lon protease
,STM4492,putative cytoplasmic protein
,STM4493,putative cytoplasmic protein
,STM4494,"putative ABC-type sugar/spermidine/putrescine transport systems, ATPase component"
,STM4495,"putative type II restriction enzyme, methylase subunit"
,STM4496,putative ATPase involved in DNA repair
,STM4497,putative cytoplasmic protein
,STM4498,putative inner membrane protein
yeeN,STM4499,putative cytoplasmic protein
yjhP,STM4500,putative SAM-dependent methyltransferase
,STM4501,putative cytoplasmic protein
,STM4502,putative cytoplasmic protein
,STM4503,putative inner membrane protein
,STM4504,putative cytoplasmic protein
,STM4505,putative inner membrane or exported
,STM4506,putative dienelactone hydrolase
uxuR,STM4507,transcriptional repressor for uxu operon
trpS2,STM4508,putative tryptophanyl-tRNA synthetase
,STM4509,putative cytoplasmic protein
,STM4510,putative aspartate racemase
yjiE,STM4511,putative LysR family transcriptional regulator
iadA,STM4512,isoaspartyl dipeptidase
yjiG,STM4513,putative permease
yjiH,STM4514,putative inner membrane protein
yjiJ,STM4515,putative sugar transporter
yjiN,STM4516,putative inner membrane protein
yjiO,STM4517,putative MFS family transport protein
,STM4518,putative inner membrane protein
,STM4519,putative NAD-dependent aldehyde dehydrogenase
,STM4520,putative cytoplasmic protein
